typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","440","LTU","Lithuania","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","477.58",,"477.58","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","458","MYS","Malaysia","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","1290.71",,"1290.71","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","496","MNG","Mongolia","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","3616201.02",,"3616201.02","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","498","MDA","Rep. of Moldova","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","194723.6",,"194723.6","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","528","NLD","Netherlands","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","18597.07",,"18597.07","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","554","NZL","New Zealand","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","11918.02",,"11918.02","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","579","NOR","Norway","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","72593.88",,"72593.88","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","616","POL","Poland","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","354086.44",,"354086.44","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","620","PRT","Portugal","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","278291.18",,"278291.18","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","643","RUS","Russian Federation","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","16818735.79",,"16818735.79","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","699","IND","India","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","4318586.46",,"4318586.46","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","704","VNM","Viet Nam","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","3478.2",,"3478.2","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","706","SOM","Somalia","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","960000",,"960000","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","724","ESP","Spain","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","251397.73",,"251397.73","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","752","SWE","Sweden","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","200339.11",,"200339.11","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","764","THA","Thailand","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","10608.41",,"10608.41","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","784","ARE","United Arab Emirates","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","9426.03",,"9426.03","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","792","TUR","Türkiye","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","151653.37",,"151653.37","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","804","UKR","Ukraine","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","52102511.45",,"52102511.45","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","826","GBR","United Kingdom","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","72304.5",,"72304.5","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","842","USA","USA","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","117557.07",,"117557.07","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","860","UZB","Uzbekistan","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","2309030",,"2309030","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","0","W00","World","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","287221515.7","269657439.45","287221515.7","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","7312458.89","6930049.59","7312458.89","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","76","BRA","Brazil","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","251025650.93","235007998.44","251025650.93","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","152","CHL","Chile","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","2014422.09","1889864.83","2014422.09","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","208","DNK","Denmark","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","5184627.19","4957579.7","5184627.19","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","380","ITA","Italy","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","1818924.91","1716453.35","1818924.91","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","600","PRY","Paraguay","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","9285302.16","8922034.55","9285302.16","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","724","ESP","Spain","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","4886025.46","4744489.49","4886025.46","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","842","USA","USA","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","2750328.73","2632106.29","2750328.73","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","858","URY","Uruguay","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","2943775.34","2856863.21","2943775.34","0","false","true",
