typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","704","VNM","Viet Nam","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","552027.06","false","8","kg","552027.06","false","552027.06","false","0","false","483313.32",,"483313.32","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","724","ESP","Spain","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","640","false","8","kg","640","false","640","false","0","false","5438.21",,"5438.21","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","764","THA","Thailand","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","853600","false","8","kg","853600","false","853600","false","0","false","579407.31",,"579407.31","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","784","ARE","United Arab Emirates","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1058.2","false","8","kg","1058.2","false","1058.2","false","0","false","5442.97",,"5442.97","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","792","TUR","Türkiye","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","696994","false","8","kg","696994","false","696994","false","0","false","484582.23",,"484582.23","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","818","EGY","Egypt","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","13000","false","8","kg","13000","false","13000","false","0","false","11365.16",,"11365.16","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","842","USA","USA","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","7778.98","false","8","kg","7778.98","false","7778.98","false","0","false","44658.44",,"44658.44","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","0","W00","World","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4997879.51","false","8","kg","4997879.51","false","4997879.51","false","0","false","3796607.81","3377807.21","3796607.81","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","243840","false","8","kg","243840","false","243840","false","0","false","148091.28","134816.64","148091.28","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","36","AUS","Australia","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","340000","false","8","kg","340000","false","340000","false","0","false","283114.75","162214","283114.75","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","76","BRA","Brazil","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","26000","false","8","kg","26000","false","26000","false","0","false","13066.9","11137.52","13066.9","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","156","CHN","China","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1200","false","8","kg","1200","false","1200","false","0","false","1890.46","1472.67","1890.46","0","false","true",
